model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2022-10-19,-2278.6674170873885,-3625.873549869895,-1495.693844306923,-2263.9395565184823,-1370.9869973390014,-11035.16136512172,-11035.16136512172,-11058.795847665226,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-03-21,-3082.2937110084167,-5487.386515191873,-836.3948871952307,-3953.696554800903,-2279.0355307359423,-15638.807198932162,-15638.807198932162,-15675.393847635454,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2022-08-19,-1848.9602259735984,-3028.9053720748925,-1913.6525255171873,-1955.7243866424542,-1025.6230261384335,-9772.865536346799,,-14748.370704070838,var|historical|full_revaluation^ytm|var_type^10^95,-14763.299963474972,,,,,,,,,,,,
10-Day 99% var_type,2022-03-14,-3089.511067546264,-5691.020380750328,-2761.2112032993173,-3128.0614358372986,-1700.7360855651496,-16370.540172998095,,-21939.217328331415,var|historical|full_revaluation^ytm|var_type^10^99,-21890.962467696052,,,,,,,,,,,,
10-Day 99% expected_shortfall,2022-03-14,-3089.511067546264,-5691.020380750328,-2761.2112032993173,-3128.0614358372986,-1700.7360855651496,-16370.540172998095,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-21890.962467696052,-21939.217328331415,,,,,,,,,,,
10-Day 95% expected_shortfall,2022-08-19,-1848.9602259735984,-3028.9053720748925,-1913.6525255171873,-1955.7243866424542,-1025.6230261384335,-9772.865536346799,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-14763.299963474972,-14748.370704070838,,,,,,,,,,,
10-Day 95% var_type,2023-02-15,,,,,,-36143.540095154545,,-34860.81566514702,var|historical|sensitivity_approximation^ytm|var_type^10^95,-34999.50880807653,,-7058.823683134205,-10849.875275638928,-7133.991166973008,-6576.904554577316,-4523.94541483109,,,,,,
10-Day 99% var_type,2022-12-21,,,,,,-20459.20433800421,,-49905.31148404249,var|historical|sensitivity_approximation^ytm|var_type^10^99,-49652.918174467486,,-2857.1429193638432,-9180.66369477139,-3057.424785845571,-4071.4171052145243,-1292.55583280888,,,,,,
10-Day 95% var_type,,,,,,,-42480.5442453692,,-54042.522240582955,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-54044.19722679243,,,,,,,3881.0,-9025.714510544582,-13585.581757583814,-8219.596875981364,-6885.384618107846,-4764.266483151591
10-Day 99% var_type,,,,,,,-66333.89272257705,,-76340.74255925111,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-76339.9018966367,,,,,,,46608.0,-14200.812080642065,-18022.446494128686,-11286.741690464563,-14359.35358298453,-8464.5388743572
